Wholesale Credit Data Modeler,https://www.dice.com/jobs/detail/Wholesale-Credit-Data-Modeler-NTT-DATA-Charlotte-NC-28201/cxkeane/282923?icid=sr1-1p&q=data&l=,NTT DATA,"Charlotte, NC",3 weeks ago
Wholesale Credit Data Modeler,https://www.dice.com/jobs/detail/Wholesale-Credit-Data-Modeler-NTT-DATA-Charlotte-NC-28201/cxkeane/281353?icid=sr2-1p&q=data&l=,NTT DATA,"Charlotte, NC",4 weeks ago
Data Modeler,https://www.dice.com/jobs/detail/Data-Modeler-NTT-DATA-Charlotte-NC-28201/cxkeane/291748?icid=sr3-1p&q=data&l=,NTT DATA,"Charlotte, NC",2 weeks ago
Data Analyst w/Hadoop,https://www.dice.com/jobs/detail/Data-Analyst-w%26%2347Hadoop-Harte%26%2345Hanks-Data-Technologies-Trevose-PA-19053/RTL232722/287410?icid=sr4-1p&q=data&l=,Harte-Hanks Data Technologies,"Trevose, PA",6 days ago
Data Modeler,https://www.dice.com/jobs/detail/Data-Modeler-NTT-DATA%2C-Inc.-Charlotte-NC-28202/10229322/15-07102?icid=sr5-1p&q=data&l=,"NTT DATA, Inc.","Charlotte, NC",6 days ago
Data Analyst,https://www.dice.com/jobs/detail/Data-Analyst-Data-Concepts-Richmond-VA-23219/datva001/279163?icid=sr6-1p&q=data&l=,Data Concepts,"Richmond, VA",2 weeks ago
Virtual  Data Analyst,https://www.dice.com/jobs/detail/Virtual--Data-Analyst-Centennial-Data-Group-Denver-CO-80220/90807545/921819?icid=sr7-1p&q=data&l=,Centennial Data Group,"Denver, CO",5 days ago
Data Integration Developer,https://www.dice.com/jobs/detail/Data-Integration-Developer-Brunswick-Data-Piscataway-NJ-08854/90857510/194666?icid=sr8-1p&q=data&l=,Brunswick Data,"Piscataway, NJ",5 days ago
Sr data modeler,https://www.dice.com/jobs/detail/Sr-data-modeler-Pacific-Data-Integrators-Ontario-CA-91764/90624173/254?icid=sr9-1p&q=data&l=,Pacific Data Integrators,"Ontario, CA",2 days ago
SAP Meter Data w/  iTRON,https://www.dice.com/jobs/detail/SAP-Meter-Data-w%26%2347--iTRON-Connexions-Data-Inc-Lansing-MI-48913/10228619/205232?icid=sr10-1p&q=data&l=,Connexions Data Inc,"Lansing, MI",5 days ago
Data Warehouse Administrator DCA9772,https://www.dice.com/jobs/detail/Data-Warehouse-Administrator-DCA9772-Data-Center-Agency-West-Los-Angeles-CA-90025/datacntr/DCA9772?icid=sr11-1p&q=data&l=,Data Center Agency,"West Los Angeles, CA",1 day ago
Data Warehouse Administrator,https://www.dice.com/jobs/detail/Data-Warehouse-Administrator-Data-Center-Agency-Westwood-CA-96137/datacntr/266198?icid=sr12-1p&q=data&l=,Data Center Agency,"Westwood, CA",8 hours ago
Principal Data Center Engineer,https://www.dice.com/jobs/detail/Principal-Data-Center-Engineer-Network-Data-Systems-Schaumburg-IL-60173/10115228/PDCE-CHI?icid=sr13-1p&q=data&l=,Network Data Systems,"Schaumburg, IL",2 weeks ago
Big Data Architect /Data Scientist,https://www.dice.com/jobs/detail/Big-Data-Architect-%26%2347Data-Scientist-NTT-DATA-Chicago-IL-60601/cxkeane/306987?icid=sr14-1p&q=data&l=,NTT DATA,"Chicago, IL",5 days ago
Senior Data Center Migration Analyst,https://www.dice.com/jobs/detail/Senior-Data-Center-Migration-Analyst-TDS%3A-Transitional-Data-Services-Westborough-MA-01581/10300768/962268?icid=sr15-1p&q=data&l=,TDS: Transitional Data Services,"Westborough, MA",2 weeks ago
Data Security Engineer,https://www.dice.com/jobs/detail/Data-Security-Engineer-Data-Resource-Technologies-Atlanta-GA-30342/10124769/DSE-GA-JM?icid=sr16-1p&q=data&l=,Data Resource Technologies,"Atlanta, GA",1 week ago
Data Security Engineer,https://www.dice.com/jobs/detail/Data-Security-Engineer-Data-Resource-Technologies-Hagerstown-MD-21740/10124769/DSE-MD-JM?icid=sr17-1p&q=data&l=,Data Resource Technologies,"Hagerstown, MD",1 week ago
Network Architect\ Sr. Network Engineer-Data Center,https://www.dice.com/jobs/detail/Network-Architect%26%2392-Sr.-Network-Engineer%26%2345Data-Center-DCM-Data-Systems-Fort-Wayne-IN-46801/10109811/198072?icid=sr18-1p&q=data&l=,DCM Data Systems,"Fort Wayne, IN",3 weeks ago
Network Architect\ Sr. Network Engineer-Data Center,https://www.dice.com/jobs/detail/Network-Architect%26%2392-Sr.-Network-Engineer%26%2345Data-Center-DCM-Data-Systems-Allen-TX-75002/10109811/178133?icid=sr19-1p&q=data&l=,DCM Data Systems,"Allen, TX",3 weeks ago
Senior Data Integration Architect / ETL Developer,https://www.dice.com/jobs/detail/Senior-Data-Integration-Architect-%26%2347-ETL-Developer-Data-Based-Development-Systems-East-Hartford-CT-06108/10119750/124267?icid=sr20-1p&q=data&l=,Data Based Development Systems,"East Hartford, CT",4 days ago
Senior Data Architect 5 - (Top Secret),https://www.dice.com/jobs/detail/Senior-Data-Architect-5-%26%2345-%28Top-Secret%29-NORTHROP-GRUMMAN-Chantilly-VA-20151/ngitbot/15019873?icid=sr21-1p&q=data&l=,NORTHROP GRUMMAN,"Chantilly, VA",23 hours ago
Lead Data Scientist,https://www.dice.com/jobs/detail/Lead-Data-Scientist-NORTHROP-GRUMMAN-Fairfax-VA-20151/ngitbot/15013423?icid=sr22-1p&q=data&l=,NORTHROP GRUMMAN,"Fairfax, VA",23 hours ago
Lead Data Architect/Data Modeler (SVP),https://www.dice.com/jobs/detail/Lead-Data-Architect%26%2347Data-Modeler-%28SVP%29-Citi-Warren-NJ-07059/citi4/15091448?icid=sr23-1p&q=data&l=,Citi,"Warren, NJ",2 hours ago
Data Engineer/Architect,https://www.dice.com/jobs/detail/Data-Engineer%26%2347Architect-World-Data-Processing-Princeton-NJ-08540/wdpinc/DEANJ2915?icid=sr24-1p&q=data&l=,World Data Processing,"Princeton, NJ",3 weeks ago
Big Data Manager - Information Delivery,https://www.dice.com/jobs/detail/Big-Data-Manager-%26%2345-Information-Delivery-Deloitte-Cincinnati-OH-45201/10106525/20864602000006132?icid=sr25-1p&q=data&l=,Deloitte,"Cincinnati, OH",3 weeks ago
Big Data Manager - Information Delivery,https://www.dice.com/jobs/detail/Big-Data-Manager-%26%2345-Information-Delivery-Deloitte-Chicago-IL-60290/10106525/20864602000005782?icid=sr26-1p&q=data&l=,Deloitte,"Chicago, IL",3 weeks ago
Big Data Manager - Information Delivery,https://www.dice.com/jobs/detail/Big-Data-Manager-%26%2345-Information-Delivery-Deloitte-Parsippany-NJ-07054/10106525/21031812000006022?icid=sr27-1p&q=data&l=,Deloitte,"Parsippany, NJ",3 weeks ago
Big Data Manager - Information Delivery,https://www.dice.com/jobs/detail/Big-Data-Manager-%26%2345-Information-Delivery-Deloitte-Pittsburgh-PA-15122/10106525/20864602000006202?icid=sr28-1p&q=data&l=,Deloitte,"Pittsburgh, PA",3 weeks ago
Big Data Manager - Information Delivery,https://www.dice.com/jobs/detail/Big-Data-Manager-%26%2345-Information-Delivery-Deloitte-Saint-Louis-MO-63101/10106525/20864602000005962?icid=sr29-1p&q=data&l=,Deloitte,"Saint Louis, MO",3 weeks ago
Big Data Manager - Information Delivery,https://www.dice.com/jobs/detail/Big-Data-Manager-%26%2345-Information-Delivery-Deloitte-Detroit-MI-48201/10106525/20864602000005912?icid=sr30-1p&q=data&l=,Deloitte,"Detroit, MI",3 weeks ago
